mm,mdd,dd,hr,Temp,VPD,"Wind speed",Precip,P,O3,HD,R,PAR
,,,,C,kPa,"m s-1",mm,kPa,ppb,"W m-2",Wm-2,"umol m-2 s-1"
1,7,7,14,0.11,0,0.23,0.01,99.85,5.952,-2.1,121.25,249.350625
1,7,7,15,-1.25,0,0.18,0.013,99.66,3.719,-1,27.89,57.355785
1,7,7,16,-0.28,0,0.16,0.013,99.78,0.869,-2.4,0,0
1,7,7,17,-0.76,0,0.21,0.013,99.73,0.728,-3.8,0,0
1,7,7,18,-1.54,0.003994,0.3,0.02,99.6,1.845,-5.2,0,0
1,7,7,19,-1.34,0.004923,0.31,0.02,99.65,3.438,-4.9,0,0
1,7,7,20,-1.44,0.004808,0.31,0.02,99.63,5.073,-4.6,0,0
1,7,7,21,-1.45,0.005207,0.32,0.021,99.49,6.496,-4.3,0,0
1,7,7,22,-1.5,0.004236,0.3,0.021,99.58,7.179,-4,0,0
1,7,7,23,-1.47,0.004028,0.29,0.021,99.54,7.382,-3.7,0,0
1,8,8,0,-2.6,0,0.3,0.043,99.44,7.407,-3.4,0,0
1,8,8,1,-1.83,0.003286,0.33,0.043,99.48,7.655,-2.37,0,0
1,8,8,2,-2.21,0.003276,0.35,0.043,99.46,8.097,-1.33,0,0
1,8,8,3,-2.52,0.004258,0.37,0.03,99.37,8.408,-0.3,0,0
1,8,8,4,-2.57,0.003749,0.36,0.03,99.42,8.293,-0.77,0,0
1,8,8,5,-2.54,0.003803,0.36,0.03,99.4,8.324,-1.23,0,0
1,8,8,6,-4.66,0,0.35,0.01,99.21,8.889,-1.7,0,0
1,8,8,7,-3.22,0.001424,0.34,0.01,99.33,8.543,-2.67,0,0
1,8,8,8,-3.93,0,0.3,0.01,99.28,8.248,-3.63,0,0
1,8,8,9,-1.5,0.012258,0.24,0.013,99.15,7.068,-4.6,9.55,19.639575
1,8,8,10,-3.6,0,0.53,0.013,99.2,13.931,-1.67,100.16,205.97904
1,8,8,11,-2.55,0.00217,0.59,0.013,99.18,17.632,1.27,168.62,346.76703
1,8,8,12,-0.49,0.009636,0.62,0.037,98.99,20.324,4.2,64.67,132.993855
1,8,8,13,-1.15,0.005645,0.66,0.037,99.11,21.524,1.07,59.68,122.73192
1,8,8,14,-0.81,0.005838,0.69,0.037,99.06,21.729,-2.07,41.04,84.39876
1,8,8,15,-1.41,0.00273,0.73,0.013,98.84,21.43,-5.2,29.52,60.70788
1,8,8,16,-0.78,0.005441,0.71,0.013,98.96,20.822,-8.83,0,0
1,8,8,17,-1.09,0.004854,0.68,0.013,98.91,20.995,-12.47,0,0
1,8,8,18,-2.71,0,0.64,0,98.86,21.96,-16.1,0,0
1,8,8,19,-1.85,0.00407,0.63,0,98.84,22.41,-20.1,0,0
1,8,8,20,-2.28,0.003521,0.63,0,98.85,23.333,-24.1,0,0
1,8,8,21,-2.51,0.00405,0.63,0,98.75,23.924,-28.1,0,0
1,8,8,22,-2.63,0.003368,0.66,0,98.84,24.648,-29.97,0,0
1,8,8,23,-2.57,0.003463,0.69,0,98.8,24.842,-31.83,0,0
1,9,9,0,-1.93,0.005736,0.72,0.003,98.79,24.449,-33.7,0,0
1,9,9,1,-2.32,0.00364,0.74,0.003,98.76,24.445,-32.53,0,0
1,9,9,2,-2.13,0.003823,0.76,0.003,98.77,24.253,-31.37,0,0
1,9,9,3,-1.54,0.005621,0.78,0.01,98.83,24.08,-30.2,0,0
1,9,9,4,-1.8,0.004079,0.75,0.01,98.8,24.259,-28.63,0,0
1,9,9,5,-1.67,0.004074,0.73,0.01,98.81,24.629,-27.07,0,0
1,9,9,6,-2.1,0.001806,0.7,0.007,98.96,25.329,-25.5,0,0
1,9,9,7,-1.74,0.003986,0.7,0.007,98.86,25.673,-26.27,0,0
1,9,9,8,-1.92,0.003935,0.71,0.007,98.9,26.233,-27.03,0,0
1,9,9,9,0.67,0.015652,0.71,0.003,99.03,26.328,-27.8,10.48,21.55212
1,9,9,10,-1.18,0.003077,0.82,0.003,98.98,30.006,-18.97,101.5,208.73475
1,9,9,11,-0.26,0.003686,0.9,0.003,99,32.226,-10.13,169.66,348.90579
1,9,9,12,1.83,0.010655,0.95,0.016,99,33.646,-1.3,203.13,417.736845
1,9,9,13,1.06,0.00512,0.9,0.016,99.02,33.552,-4.67,188.09,386.807085
1,9,9,14,1.45,0.005287,0.85,0.016,99.01,32.918,-8.03,130.52,268.41438
1,9,9,15,0.33,0,0.79,0.028,99.12,31.73,-11.4,36.58,75.22677
1,9,9,16,1.32,0.004252,0.74,0.028,99.03,30.367,-13.6,0,0
1,9,9,17,0.82,0.003417,0.67,0.028,99.07,28.783,-15.8,0,0
1,9,9,18,-1.59,0,0.59,0.003,99.35,26.918,-18,0,0
1,9,9,19,-0.33,0.001648,0.47,0.003,99.17,24.489,-13.63,0,0
1,9,9,20,-0.97,0,0.36,0.003,99.25,22.14,-9.27,0,0
1,9,9,21,-2.79,0,0.25,0.003,99.38,18.532,-4.9,0,0
1,9,9,22,-1.99,0,0.22,0.003,99.36,17.021,-5.23,0,0
1,9,9,23,-2.39,0,0.23,0.003,99.37,16.546,-5.57,0,0
1,10,10,0,-1.12,0.003213,0.26,0.013,99.42,15.78,-5.9,0,0
1,10,10,1,-2.24,0,0.22,0.013,99.39,13.871,-4.87,0,0
1,10,10,2,-1.68,0,0.2,0.013,99.4,11.915,-3.83,0,0
1,10,10,3,-1.17,0,0.19,0.01,99.43,10.556,-2.8,0,0
1,10,10,4,-1.14,0,0.23,0.01,99.42,9.961,-5.37,0,0
1,10,10,5,-1.15,0,0.29,0.01,99.43,9.257,-7.93,0,0
1,10,10,6,-1.81,0,0.37,0.01,99.48,8.423,-10.5,0,0
1,10,10,7,-1.39,0.000292,0.43,0.01,99.44,7.538,-15.27,0,0
1,10,10,8,-1.6,0.001064,0.5,0.01,99.46,7.742,-20.03,0,0
1,10,10,9,0.78,0.012832,0.58,0.003,99.56,9.57,-24.8,11.67,23.999355
1,10,10,10,-0.95,0,0.83,0.003,99.5,17.655,-16.67,105.34,216.63171
1,10,10,11,-0.09,0.00167,0.96,0.003,99.52,23.037,-8.53,175.18,360.25767
1,10,10,12,0.47,0.003603,1.05,0.007,99.32,25.95,-0.4,93.86,193.02309
1,10,10,13,0.7,0.005082,1.12,0.007,99.51,26.369,-4.6,87.05,179.018325
1,10,10,14,0.59,0.00524,1.2,0.007,99.43,24.999,-8.8,60.94,125.32311
1,10,10,15,-0.36,0.001627,1.29,0.01,99.35,22.041,-13,10.5,21.59325
1,10,10,16,0.19,0.004964,1.29,0.01,99.33,17.257,-15.53,0,0
1,10,10,17,-0.09,0.004639,1.29,0.01,99.34,12.808,-18.07,0,0
1,10,10,18,-1.38,6.6e-05,1.3,0.087,99.39,9.4,-20.6,0,0
1,10,10,19,-0.7,0.00417,1.3,0.087,99.36,7.739,-17.77,0,0
1,10,10,20,-1.04,0.004022,1.29,0.087,99.37,7.704,-14.93,0,0
1,10,10,21,-0.99,0.005544,1.29,0.06,99.34,8.235,-12.1,0,0
1,10,10,22,-1.25,0.003708,1.2,0.06,99.38,8.276,-13.5,0,0
1,10,10,23,-1.12,0.003564,1.1,0.06,99.36,7.468,-14.9,0,0
1,11,11,0,-1.01,0.003452,1,0.011,99.34,6.032,-16.3,0,0
1,11,11,1,-1,0.003484,0.99,0.011,99.34,4.452,-16.23,0,0
1,11,11,2,-1,0.003437,0.98,0.011,99.34,2.951,-16.17,0,0
1,11,11,3,-0.33,0.0063,0.98,0.013,99.3,1.712,-16.1,0,0
1,11,11,4,-0.78,0.003407,0.99,0.013,99.33,0.786,-17.37,0,0
1,11,11,5,-0.55,0.003421,1.01,0.013,99.32,0.179,-18.63,0,0
1,11,11,6,-0.51,0.002635,1.03,0,99.33,0.002,-19.9,0,0
1,11,11,7,-0.39,0.003386,1.12,0,99.31,0.012,-20.63,0,0
1,11,11,8,-0.45,0.003412,1.21,0,99.32,0.018,-21.37,0,0
1,11,11,9,1.16,0.011145,1.3,0.69,99.18,2.934,-22.1,3.35,6.889275
1,11,11,10,0.06,0.003498,1.44,0.69,99.3,5.302,-23.33,27.58,56.71827
1,11,11,11,0.62,0.003547,1.59,0.69,99.25,6.829,-24.57,45.55,93.673575
1,11,11,12,3.24,0.014386,1.74,1.007,99.02,7.126,-25.8,53.07,109.138455
1,11,11,13,1.87,0.003606,1.67,1.007,99.14,7.01,-29.57,49.37,101.529405
1,11,11,14,2.56,0.00373,1.61,1.007,99.09,7.373,-33.33,34.88,71.73072
1,11,11,15,6.79,0.025839,1.55,0.183,98.96,9.632,-37.1,11.42,23.48523
1,11,11,16,4.43,0.003931,1.54,0.183,99.01,14.267,-41.9,0,0
1,11,11,17,5.61,0.004261,1.56,0.183,98.99,19.359,-46.7,0,0
1,11,11,18,8.79,0.019421,1.61,0,99.13,22.664,-51.5,0,0
1,11,11,19,7.44,0.005315,1.63,0,99,24.711,-56.97,0,0
1,11,11,20,8.11,0.005834,1.66,0,99.05,26.392,-62.43,0,0
1,11,11,21,9.94,0.015875,1.7,0.01,99.09,27.41,-67.9,0,0
1,11,11,22,9.18,0.007114,1.74,0.01,99.12,27.811,-66.77,0,0
1,11,11,23,9.56,0.007724,1.79,0.01,99.11,28.035,-65.63,0,0
1,12,12,0,7.31,0,1.84,0.003,99.02,28.399,-64.5,0,0
1,12,12,1,9.07,0.007737,1.9,0.003,99.07,28.848,-69.27,0,0
1,12,12,2,8.19,0.007383,1.97,0.003,99.05,29.251,-74.03,0,0
1,12,12,3,7.99,0.012383,2.04,0.007,98.89,29.543,-78.8,0,0
1,12,12,4,7.55,0.00751,2.1,0.007,98.99,29.797,-80.3,0,0
1,12,12,5,7.78,0.007621,2.16,0.007,98.95,30.007,-81.8,0,0
1,12,12,6,8.28,0.00976,2.22,0.08,98.97,30.181,-83.3,0,0
1,12,12,7,8.08,0.007501,2.32,0.08,98.91,30.628,-79.03,0,0
1,12,12,8,8.18,0.007398,2.43,0.08,98.93,30.945,-74.77,0,0
1,12,12,9,8.71,0.010482,2.53,0.21,99.12,31.386,-70.5,8.46,17.39799
1,12,12,10,8.41,0.007247,2.46,0.21,99,31.594,-60.57,64.51,132.664815
1,12,12,11,8.55,0.007196,2.41,0.21,99.05,31.6,-50.63,105.61,217.186965
1,12,12,12,9.62,0.014457,2.36,0.01,99.09,31.519,-40.7,76.61,157.548465
1,12,12,13,9.02,0.007557,2.31,0.01,99.11,31.475,-37.77,71.5,147.03975
1,12,12,14,9.32,0.007895,2.26,0.01,99.1,31.531,-34.83,50.96,104.79924
1,12,12,15,8.49,0,2.21,0.003,99.13,31.536,-31.9,46.08,94.76352
1,12,12,16,9.24,0.007953,2.17,0.003,99.1,31.421,-41.9,0,0
1,12,12,17,8.86,0.0078,2.14,0.003,99.11,31.248,-51.9,0,0
1,12,12,18,6.71,0,2.1,0,99.26,31.032,-61.9,0,0
1,12,12,19,7.89,0.007193,2.06,0,99.16,30.853,-59.7,0,0
1,12,12,20,7.29,0.006832,2.03,0,99.2,30.687,-57.5,0,0
1,12,12,21,6.51,0.005422,2,0,99.17,30.102,-55.3,0,0
1,12,12,22,6.65,0.006665,2.1,0,99.24,29.036,-54.93,0,0
1,12,12,23,6.58,0.006626,2.21,0,99.21,27.235,-54.57,0,0
1,13,13,0,7.31,0.012205,2.31,0,99.03,25.827,-54.2,0,0
1,13,13,1,6.79,0.006865,2.42,0,99.14,26.659,-59,0,0
1,13,13,2,7.06,0.007133,2.54,0,99.09,29.389,-63.8,0,0
1,13,13,3,6.49,0.001848,2.66,0,98.9,31.775,-68.6,0,0
1,13,13,4,7.05,0.007569,2.69,0,99,32.789,-76.03,0,0
1,13,13,5,6.77,0.007737,2.73,0,98.96,32.929,-83.47,0,0
1,13,13,6,6.58,0.008442,2.76,0.023,98.94,32.759,-90.9,0,0
1,13,13,7,6.52,0.007619,2.7,0.023,98.91,32.576,-87.17,0,0
1,13,13,8,6.55,0.007398,2.64,0.023,98.92,32.303,-83.43,0,0
1,13,13,9,8.43,0.020315,2.59,0.083,99.07,31.746,-79.7,13.95,28.688175
1,13,13,10,7.18,0.007179,2.46,0.083,98.97,30.617,-64.63,98.21,201.968865
1,13,13,11,7.8,0.007333,2.35,0.083,99.01,29.381,-49.57,159.59,328.196835
1,13,13,12,9.14,0.01301,2.24,0.01,99.23,28.277,-34.5,74.8,153.8262
1,13,13,13,8.65,0.007517,2.16,0.01,99.11,27.447,-33.23,70.04,144.03726
1,13,13,14,8.89,0.007479,2.07,0.01,99.16,26.838,-31.97,50.34,103.52421
1,13,13,15,8.24,0.000623,1.99,0.003,99.27,26.187,-30.7,13.16,27.06354
1,13,13,16,8.84,0.007305,1.89,0.003,99.24,25.264,-35.7,0,0
1,13,13,17,8.54,0.007175,1.79,0.003,99.25,24.339,-40.7,0,0
1,13,13,18,8.16,0.006555,1.68,0,99.34,23.44,-45.7,0,0
1,13,13,19,8.21,0.007297,1.61,0,99.29,23.054,-43.5,0,0
1,13,13,20,8.18,0.007388,1.55,0,99.31,23.181,-41.3,0,0
1,13,13,21,6.91,0,1.49,0,99.32,23.336,-39.1,0,0
1,13,13,22,7.75,0.007426,1.47,0,99.34,23.629,-40.4,0,0
1,13,13,23,7.33,0.007418,1.46,0,99.33,24.403,-41.7,0,0
1,14,14,0,4.91,0,1.45,0,99.28,25.981,-43,0,0
1,14,14,1,6.25,0.007008,1.48,0,99.31,28.145,-40,0,0
1,14,14,2,5.58,0.006732,1.5,0,99.3,29.922,-37,0,0
1,14,14,3,3.73,0,1.52,0,99.22,30.48,-34,0,0
1,14,14,4,4.52,0.006656,1.56,0,99.27,29.761,-39.4,0,0
1,14,14,5,4.13,0.006708,1.6,0,99.25,28.463,-44.8,0,0
1,14,14,6,2.82,0.001793,1.64,0,99.24,27.121,-50.2,0,0
